Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C3_Conversacao,1024,1024,04_KV_Attn,5,211.67,104.89,5.56
C3_Conversacao,1024,1024,05_KV_FFN,5,251.14,86.08,4.66
C3_Conversacao,1024,1024,06_Attn_FFN,5,234.74,108.78,4.94
C3_Conversacao,1024,1024,07_Tudo,5,322.03,92.61,3.51
C3_Conversacao,1024,1024,00_Baseline,6,96.88,117.02,14.13
C3_Conversacao,1024,1024,01_KV,6,165.32,86.23,7.50
C3_Conversacao,1024,1024,02_Attn,6,138.38,115.41,9.07
C3_Conversacao,1024,1024,03_FFN,6,193.26,100.87,6.22
C3_Conversacao,1024,1024,04_KV_Attn,6,197.92,94.63,6.07
C3_Conversacao,1024,1024,05_KV_FFN,6,264.06,91.15,4.40
C3_Conversacao,1024,1024,06_Attn_FFN,6,236.64,93.91,4.94
C3_Conversacao,1024,1024,07_Tudo,6,302.82,93.15,3.84
C3_Conversacao,1024,1024,00_Baseline,7,97.52,115.56,14.03
C3_Conversacao,1024,1024,01_KV,7,166.76,102.56,7.34
C3_Conversacao,1024,1024,02_Attn,7,137.90,120.11,9.02
C3_Conversacao,1024,1024,03_FFN,7,189.54,106.68,6.31
C3_Conversacao,1024,1024,04_KV_Attn,7,21.28,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,7,14.65,N/A,N/A
C3_Conversacao,1024,1024,06_Attn_FFN,7,234.65,108.22,4.94
C3_Conversacao,1024,1024,07_Tudo,7,13.71,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,8,97.29,115.95,14.16
C3_Conversacao,1024,1024,01_KV,8,13.52,N/A,N/A
C3_Conversacao,1024,1024,02_Attn,8,16.65,N/A,N/A
C3_Conversacao,1024,1024,03_FFN,8,190.87,111.18,6.21
C3_Conversacao,1024,1024,04_KV_Attn,8,14.06,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,8,14.79,N/A,N/A
C3_Conversacao,1024,1024,06_Attn_FFN,8,235.43,102.14,4.95
C3_Conversacao,1024,1024,07_Tudo,8,14.75,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,9,98.83,115.34,13.85
C3_Conversacao,1024,1024,01_KV,9,14.52,N/A,N/A
C3_Conversacao,1024,1024,02_Attn,9,16.77,N/A,N/A
C3_Conversacao,1024,1024,03_FFN,9,190.10,118.55,6.19
C3_Conversacao,1024,1024,04_KV_Attn,9,14.16,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,9,14.81,N/A,N/A
