Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C3_Conversacao,1024,1024,03_FFN,8,209.80,70.27,5.78
C3_Conversacao,1024,1024,04_KV_Attn,8,14.36,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,8,15.07,N/A,N/A
C3_Conversacao,1024,1024,06_Attn_FFN,8,251.22,70.78,4.70
C3_Conversacao,1024,1024,07_Tudo,8,15.63,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,9,123.21,69.57,11.12
C3_Conversacao,1024,1024,01_KV,9,13.82,N/A,N/A
C3_Conversacao,1024,1024,02_Attn,9,16.74,N/A,N/A
C3_Conversacao,1024,1024,03_FFN,9,209.89,70.11,5.78
C3_Conversacao,1024,1024,04_KV_Attn,9,14.43,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,9,15.36,N/A,N/A
C3_Conversacao,1024,1024,06_Attn_FFN,9,251.85,70.33,4.69
C3_Conversacao,1024,1024,07_Tudo,9,14.89,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,10,122.86,69.98,11.14
C3_Conversacao,1024,1024,01_KV,10,13.84,N/A,N/A
C3_Conversacao,1024,1024,02_Attn,10,17.56,N/A,N/A
C3_Conversacao,1024,1024,03_FFN,10,209.39,70.56,5.80
C3_Conversacao,1024,1024,04_KV_Attn,10,15.70,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,10,15.36,N/A,N/A
C3_Conversacao,1024,1024,06_Attn_FFN,10,252.31,70.70,4.71
C3_Conversacao,1024,1024,07_Tudo,10,15.49,N/A,N/A
C4_Estresse,3500,500,00_Baseline,1,193.67,30.92,7.80
C4_Estresse,3500,500,01_KV,1,434.86,11.65,4.26
C4_Estresse,3500,500,02_Attn,1,202.60,33.38,6.21
C4_Estresse,3500,500,03_FFN,1,227.27,32.54,4.84
C4_Estresse,3500,500,04_KV_Attn,1,451.44,11.91,3.71
C4_Estresse,3500,500,05_KV_FFN,1,476.95,11.72,3.16
C4_Estresse,3500,500,06_Attn_FFN,1,248.67,32.81,4.05
C4_Estresse,3500,500,07_Tudo,1,497.08,11.97,2.79
C4_Estresse,3500,500,00_Baseline,2,191.33,30.96,7.85
C4_Estresse,3500,500,01_KV,2,435.83,11.62,4.26
C4_Estresse,3500,500,02_Attn,2,202.15,33.53,6.21
C4_Estresse,3500,500,03_FFN,2,229.13,32.51,4.83
C4_Estresse,3500,500,04_KV_Attn,2,448.96,12.02,3.71
C4_Estresse,3500,500,05_KV_FFN,2,473.99,11.77,3.17
C4_Estresse,3500,500,06_Attn_FFN,2,247.11,32.85,4.06
C4_Estresse,3500,500,07_Tudo,2,495.28,11.87,2.79
C4_Estresse,3500,500,00_Baseline,3,191.95,31.00,7.88
C4_Estresse,3500,500,01_KV,3,436.39,11.59,4.26
C4_Estresse,3500,500,02_Attn,3,201.94,33.40,6.20
C4_Estresse,3500,500,03_FFN,3,227.10,32.59,4.84
C4_Estresse,3500,500,04_KV_Attn,3,442.09,12.13,3.71
C4_Estresse,3500,500,05_KV_FFN,3,471.45,11.92,3.16
C4_Estresse,3500,500,06_Attn_FFN,3,248.49,32.85,4.05
C4_Estresse,3500,500,07_Tudo,3,493.91,11.93,2.79
C4_Estresse,3500,500,00_Baseline,4,192.47,31.02,7.88
